City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
185,Boddam,GB,13.55,overcast clouds,57.4667,-1.7833,Palace Hotel
188,Rio Gallegos,AR,4.03,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
190,Chaumont,FR,18.16,overcast clouds,48.1167,5.1333,Hôtel Restaurant Des Remparts
191,Yacuiba,BO,7.8,overcast clouds,-22.038,-63.6797,Hotel Monumental
193,Santa Cruz,BO,11.7,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
197,Acari,PE,19.84,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
200,Geraldton,AU,17.23,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
205,Santa Maria,BR,9.61,few clouds,-29.6842,-53.8069,Hotel Morotin
207,Ustyuzhna,RU,19.42,broken clouds,58.8394,36.4321,V Gostyah U Svetlany
209,Olavarria,AR,4.48,overcast clouds,-36.8927,-60.3225,Hotel Santa Rosa
213,Youghal,IE,17.56,few clouds,51.95,-7.8506,Quality Hotel and Leisure Centre Youghal
214,Chapais,CA,17.88,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
215,Bourges,FR,17.29,overcast clouds,47.25,2.4167,Thomas
219,Betioky,MG,16.24,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
226,Hammerfest,NO,10.25,clear sky,70.6634,23.6821,Skytterhuset
235,Kinna,SE,15.84,overcast clouds,57.5073,12.6946,Hanatorps Camping
238,Yuryuzan,RU,16.66,scattered clouds,54.8633,58.4219,Приют Зигальга
240,Vestmannaeyjar,IS,9.91,overcast clouds,63.4427,-20.2734,Glamping & Camping
241,La Linea,AR,6.87,overcast clouds,-27.6243,-55.0388,Chacra Don Juan
242,Lillehammer,NO,15.74,broken clouds,61.1146,10.4674,Scandic Lillehammer Hotel
245,Kuytun,RU,12.24,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
246,Marienburg,PL,17.2,clear sky,54.0359,19.0266,Hotel Centrum Malbork
247,East Kilbride,GB,16.71,overcast clouds,55.7667,-4.1667,The Torrance Hotel
249,Port-Cartier,CA,17.12,overcast clouds,50.0334,-66.8654,Le Q'Artier
251,San Rafael,AR,4.88,clear sky,-34.6177,-68.3301,Hotel San Rafael
254,Muros,ES,15.69,few clouds,42.7762,-9.0603,Apartment Av. Castelao
259,Montepuez,MZ,15.57,clear sky,-13.1256,38.9997,PembaAparthotel
