,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Firovo,RU,57.4814,33.7021,18.32,99,100,1.4,overcast clouds
344,Iberia,US,29.9502,-91.7507,28.87,83,75,5.14,broken clouds
345,Marsa Matruh,EG,31.3525,27.2453,26.11,83,0,5.66,clear sky
346,Olive Branch,US,34.9618,-89.8295,33.11,52,40,6.17,scattered clouds
347,Bathsheba,BB,13.2167,-59.5167,29.34,61,40,7.72,scattered clouds
348,Washington,US,47.5001,-120.5015,41.27,17,0,4.42,clear sky
349,Sao Mateus Do Sul,BR,-25.8742,-50.3828,15.62,79,99,1.5,overcast clouds
350,Zolotonosha,UA,49.6689,32.0377,18.96,94,45,5.66,scattered clouds
351,Aksu,CN,41.1231,80.2644,24.43,25,61,2.12,broken clouds
352,Skibbereen,IE,51.55,-9.2667,17.89,89,46,3.64,scattered clouds
353,Resavica,RS,44.0408,21.5816,17.82,63,0,0.67,clear sky
354,Jibuti,DJ,11.5,42.5,27.07,58,10,3.49,clear sky
355,Cayenne,GF,4.9333,-52.3333,29.02,76,0,1.34,clear sky
356,La Rioja,ES,42.25,-2.5,11.88,96,100,1.34,overcast clouds
357,Shiraz,IR,29.6036,52.5388,25.69,27,75,0.0,broken clouds
358,Ceres,US,37.5949,-120.9577,42.95,29,1,4.12,clear sky
359,Governador Valadares,BR,-18.8511,-41.9494,19.43,56,0,1.61,clear sky
360,Turinsk,RU,58.0458,63.696,13.62,85,0,1.19,clear sky
361,Springbok,ZA,-29.6643,17.8865,8.46,44,0,3.09,clear sky
362,Strabychovo,UA,48.3925,22.5431,20.03,75,43,2.35,scattered clouds
363,Antofagasta,CL,-23.65,-70.4,14.6,76,36,4.78,scattered clouds
364,Lusambo,CD,-4.9667,23.45,20.72,37,68,1.34,broken clouds
365,Louis Trichardt,ZA,-23.0439,29.9032,13.88,40,0,0.47,clear sky
366,Sosnytsya,UA,51.5239,32.4999,17.83,97,71,3.9,broken clouds
367,Tamasane,BW,-22.4184,27.4013,14.73,30,0,2.11,clear sky
368,Manavalakurichi,IN,8.1333,77.3,28.05,83,95,5.5,overcast clouds
369,Benguela,AO,-12.5763,13.4055,21.66,84,16,0.73,few clouds
370,Sorkjosen,NO,69.8,20.9333,11.74,72,97,0.43,overcast clouds
371,Sheltozero,RU,61.3667,35.3667,17.5,90,82,1.73,broken clouds
372,Sept-Iles,CA,50.2001,-66.3821,17.29,96,90,0.45,mist
373,Olinda,BR,-8.0089,-34.8553,20.85,88,75,4.63,broken clouds
374,Gonen,TR,40.1049,27.654,25.37,81,0,0.86,clear sky
375,Ushtobe,KZ,45.2514,77.9838,15.22,49,7,3.97,clear sky
376,Aranos,NA,-24.1333,19.1167,13.66,28,3,4.69,clear sky
377,Snina,SK,48.9886,22.151,18.05,83,34,1.72,scattered clouds
378,Kviteseid,NO,59.4022,8.4927,17.13,93,35,0.51,scattered clouds
379,Immokalee,US,26.4187,-81.4173,33.97,62,20,6.17,few clouds
380,Rognan,NO,67.0953,15.3878,12.09,80,33,2.06,scattered clouds
381,Laishevo,RU,55.4046,49.5504,22.12,80,10,0.54,clear sky
382,Urla,TR,38.3229,26.764,29.22,58,0,3.59,clear sky
383,Emba,KZ,48.8264,58.1442,27.35,40,28,3.02,scattered clouds
384,Fethiye,TR,36.6217,29.1164,28.93,37,0,2.97,clear sky
385,Bilma,NE,18.6853,12.9164,33.13,12,59,0.66,broken clouds
386,Salta,AR,-24.7859,-65.4117,5.33,78,75,0.89,broken clouds
387,Chimbote,PE,-9.0853,-78.5783,19.09,77,38,5.12,scattered clouds
388,Artvin,TR,41.1667,41.8333,17.6,94,67,0.54,broken clouds
389,Rochegda,RU,62.8,43.25,20.39,67,100,1.73,overcast clouds
390,Henties Bay,NA,-22.116,14.2845,15.43,84,2,3.17,clear sky
391,Parabel,RU,58.6978,81.4825,12.44,79,100,3.0,overcast clouds
392,Eirunepe,BR,-6.6603,-69.8736,27.02,71,97,1.01,heavy intensity rain
393,Artyom,AZ,40.4723,50.333,24.08,47,47,1.39,scattered clouds
394,Richards Bay,ZA,-28.783,32.0377,18.71,75,0,6.9,clear sky
395,Pinega,RU,64.7001,43.3936,15.08,68,94,2.78,overcast clouds
396,Kushmurun,KZ,52.4503,64.6311,17.87,81,7,3.65,clear sky
397,Boende,CD,-0.2167,20.8667,25.51,57,88,0.52,overcast clouds
398,Mitsamiouli,KM,-11.3847,43.2844,24.84,73,68,3.49,broken clouds
399,Ippy,CF,6.2679,21.2247,20.26,99,69,2.44,moderate rain
400,Hvolsvollur,IS,63.7533,-20.2243,9.89,94,100,2.65,overcast clouds
401,Thinadhoo,MV,0.5333,72.9333,27.69,74,69,2.85,light rain
402,Indiana,US,40.0003,-86.2503,29.93,78,1,3.6,clear sky
403,La Tuque,CA,47.4334,-72.7824,28.14,65,95,5.66,overcast clouds
404,Saint Anthony,US,45.0205,-93.218,29.39,56,1,0.45,clear sky
405,Mequon,US,43.2364,-87.9845,24.3,77,75,1.79,broken clouds
406,Alexandria,EG,31.2156,29.9553,25.98,73,0,3.09,clear sky
407,Vieux-Habitants,GP,16.0589,-61.7659,27.76,71,69,5.81,broken clouds
408,Bagua Grande,PE,-5.7561,-78.4411,29.97,57,79,2.13,light rain
409,San Pedro,PH,14.35,121.0167,27.57,87,40,1.03,haze
410,Nivala,FI,63.9167,24.9667,10.76,68,100,2.4,overcast clouds
411,Praia,CV,14.9215,-23.5087,25.3,69,0,6.17,clear sky
412,Saint-Leu,RE,-21.15,55.2833,21.49,96,1,0.45,clear sky
413,Sorland,NO,67.667,12.6934,10.13,87,81,11.55,broken clouds
414,Yar-Sale,RU,66.8333,70.8333,8.62,84,93,6.65,overcast clouds
415,Issia,CI,6.4922,-6.5856,21.4,97,100,2.2,overcast clouds
416,Camacha,PT,33.0833,-16.3333,18.42,68,75,4.63,broken clouds
417,Atar,MR,20.5169,-13.0499,36.91,10,55,3.35,broken clouds
418,Luba,GQ,3.4568,8.5547,25.94,84,100,2.78,overcast clouds
419,Pangnirtung,CA,66.1451,-65.7125,3.19,93,100,1.63,light rain
420,Nicolas Bravo,MX,18.45,-88.9167,30.53,46,89,3.65,overcast clouds
421,San Andres,CO,12.5847,-81.7006,26.01,89,75,3.6,broken clouds
422,Manhuacu,BR,-20.2581,-42.0336,13.65,77,0,0.82,clear sky
423,Sur,OM,22.5667,59.5289,28.45,66,10,6.12,clear sky
424,Caucaia,BR,-3.7361,-38.6531,27.24,73,0,4.63,clear sky
425,Pasni,PK,25.2631,63.471,27.55,81,11,6.48,few clouds
426,Wageningen,NL,51.9667,5.6667,18.95,92,90,1.54,moderate rain
427,Sassandra,CI,4.95,-6.0833,23.09,96,100,2.51,heavy intensity rain
428,Lodwar,KE,3.1191,35.5973,28.08,42,41,8.32,scattered clouds
429,Loukhi,RU,66.0764,33.0381,13.11,97,86,1.9,overcast clouds
430,Tanda,IN,26.55,82.65,29.31,75,26,1.85,scattered clouds
431,Shrewsbury,GB,52.7101,-2.7521,17.35,86,75,3.6,broken clouds
432,Sikar,IN,27.6167,75.15,32.8,34,11,0.59,few clouds
433,Laguna,US,38.421,-121.4238,42.86,36,1,5.14,clear sky
434,Bawku,GH,11.0616,-0.2417,29.21,50,11,3.02,few clouds
435,Birjand,IR,32.8663,59.2211,21.26,14,0,3.09,clear sky
436,Las Palmas,ES,28.4204,-14.0131,19.44,73,20,7.72,few clouds
437,Atmakur,IN,15.8833,78.5833,25.27,82,100,2.91,overcast clouds
438,Aquidauana,BR,-20.4711,-55.7872,16.66,72,76,5.29,broken clouds
439,Longonjo,AO,-12.9067,15.2533,14.58,33,18,0.14,few clouds
440,Aswan,EG,24.0934,32.907,32.52,16,0,3.43,clear sky
441,Lugovoy,KZ,42.9472,72.7644,18.57,38,0,0.88,clear sky
442,Pasinler,TR,39.9803,41.6764,16.55,78,21,1.17,few clouds
443,Puerto Lopez,CO,4.0845,-72.956,26.38,86,59,1.15,broken clouds
444,Maniitsoq,GL,65.4167,-52.9,6.02,98,100,3.49,moderate rain
445,Bijar,IR,35.8668,47.6051,20.85,24,71,0.69,broken clouds
446,Coruripe,BR,-10.1256,-36.1756,22.38,78,42,4.03,scattered clouds
447,Calais,FR,50.9167,1.8333,18.0,97,67,2.0,broken clouds
448,Tanout,NE,14.9709,8.8879,34.05,31,100,6.68,overcast clouds
449,Abnub,EG,27.2696,31.1511,32.12,21,0,3.54,clear sky
450,Akdepe,TM,42.0551,59.3788,29.05,29,55,2.9,broken clouds
451,Naryan-Mar,RU,67.6713,53.087,6.82,77,22,1.83,few clouds
452,Pelym,RU,61.0108,61.9978,16.36,73,55,1.83,broken clouds
453,Ancona,IT,43.55,13.1667,24.08,66,44,1.03,scattered clouds
454,Paamiut,GL,61.994,-49.6678,7.02,98,100,11.33,moderate rain
455,Jacareacanga,BR,-6.2222,-57.7528,25.79,69,100,0.58,overcast clouds
456,Marawi,PH,7.9986,124.2928,17.03,90,94,1.29,overcast clouds
457,Kudahuvadhoo,MV,2.6708,72.8944,27.07,77,100,3.99,moderate rain
458,Pregradnaya,RU,43.9508,41.1994,16.17,95,31,2.32,scattered clouds
459,Itacare,BR,-14.2775,-38.9967,21.94,78,39,3.92,scattered clouds
460,Gambela,ET,8.25,34.5833,20.92,93,52,2.27,broken clouds
461,Monster,NL,52.0258,4.175,18.89,95,100,1.79,overcast clouds
462,Rafaela,AR,-31.2503,-61.4867,8.89,42,55,1.34,broken clouds
463,Bonavista,CA,48.6499,-53.1147,16.0,96,100,10.14,moderate rain
464,Camana,PE,-16.6228,-72.7111,17.46,78,92,3.96,overcast clouds
465,Monrovia,LR,6.3005,-10.7969,25.87,82,100,2.0,light rain
466,Kaniama,CD,-7.5667,24.1833,18.78,38,33,2.35,scattered clouds
467,Cabedelo,BR,-6.9811,-34.8339,22.37,82,93,7.69,overcast clouds
468,Ratnagiri,IN,16.9833,73.3,25.95,84,100,1.62,overcast clouds
469,Coihaique,CL,-45.5752,-72.0662,0.34,93,40,0.0,scattered clouds
470,Lock Haven,US,41.137,-77.4469,32.68,66,100,3.2,overcast clouds
471,Rocha,UY,-34.4833,-54.3333,7.2,84,82,6.3,broken clouds
472,Keetmanshoop,NA,-26.5833,18.1333,15.51,26,10,3.6,clear sky
473,Pithora,IN,21.2667,82.5167,28.04,75,87,2.31,overcast clouds
474,Vagur,FO,61.4732,-6.8119,9.71,95,68,7.13,broken clouds
475,Adrar,MR,20.5022,-10.0711,36.07,12,93,0.71,overcast clouds
476,Waslala,NI,13.2333,-85.3833,29.19,56,36,2.22,scattered clouds
477,Masyaf,SY,35.0653,36.3406,21.03,50,0,2.53,clear sky
478,Huaraz,PE,-9.5333,-77.5333,12.92,74,97,1.19,light rain
479,Le Port,RE,-20.9373,55.2919,22.01,96,2,2.5,clear sky
480,Surt,LY,31.2089,16.5887,28.4,50,0,4.13,clear sky
481,Snezhnogorsk,RU,69.1933,33.2531,11.88,89,93,3.48,overcast clouds
482,Santa Cruz De La Palma,ES,28.6835,-17.7642,22.08,68,75,8.23,broken clouds
483,Malanje,AO,-9.5402,16.341,18.23,34,35,0.67,scattered clouds
484,Kindu,CD,-2.95,25.95,22.94,39,60,1.33,broken clouds
485,San Lawrenz,MT,36.0553,14.204,25.67,78,33,3.52,scattered clouds
486,Nantucket,US,41.2835,-70.0995,27.06,87,75,5.66,broken clouds
487,Loandjili,CG,-4.7561,11.8578,22.86,87,37,2.6,scattered clouds
488,Amapa,BR,1.0,-52.0,24.55,79,80,1.14,broken clouds
489,Iquique,CL,-20.2208,-70.1431,17.02,77,100,2.56,overcast clouds
490,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,22.38,60,34,5.81,scattered clouds
491,Edelira,PY,-26.75,-55.2667,7.36,97,100,1.87,overcast clouds
492,Igbo Ora,NG,7.4333,3.2833,23.3,85,39,1.97,scattered clouds
493,Seredka,RU,58.1584,28.1858,18.86,83,100,1.94,light rain
494,Rypefjord,NO,70.6333,23.6667,10.26,71,0,3.6,clear sky
495,Belokurikha,RU,51.9959,84.9896,11.95,74,99,3.3,overcast clouds
496,Pokhara,NP,28.2333,83.9833,21.44,84,32,1.94,scattered clouds
497,Chabahar,IR,25.2919,60.643,28.26,75,36,3.47,scattered clouds
498,Imeni Babushkina,RU,59.7573,43.1285,21.5,76,85,1.68,overcast clouds
499,Mitoc,RO,48.1,27.0333,21.05,86,4,3.1,clear sky
500,Chute-Aux-Outardes,CA,49.1168,-68.399,18.17,100,90,1.54,mist
501,Muhos,FI,64.808,25.9931,14.88,74,77,2.2,broken clouds
502,Oussouye,SN,12.485,-16.5469,26.05,84,54,2.52,moderate rain
503,Kalmunai,LK,7.4167,81.8167,26.03,74,100,3.14,overcast clouds
504,Zabid,YE,14.1951,43.3152,31.79,56,99,2.84,overcast clouds
505,Sakskobing,DK,54.7997,11.626,16.16,83,100,2.65,overcast clouds
506,Varberg,SE,57.1056,12.2508,16.14,90,100,4.85,overcast clouds
507,Carauari,BR,-4.8828,-66.8958,24.44,93,66,0.68,broken clouds
508,Gwanda,ZW,-20.9333,29.0,14.3,35,0,2.21,clear sky
509,Gualaquiza,EC,-3.4,-78.55,20.67,95,70,0.62,light rain
510,Synya,RU,65.3718,58.0387,6.4,75,15,1.49,few clouds
511,Comodoro Rivadavia,AR,-45.8667,-67.5,7.92,46,0,4.12,clear sky
512,Koping,SE,59.514,15.9926,17.96,83,84,1.67,broken clouds
513,Gogrial,SS,8.5332,28.1004,22.57,88,100,1.2,overcast clouds
514,Makat,KZ,47.6469,53.3463,31.7,19,4,3.92,clear sky
515,Necocli,CO,8.4234,-76.786,29.06,76,100,1.8,overcast clouds
516,Trairi,BR,-3.2778,-39.2689,26.15,72,32,4.74,scattered clouds
517,Kautokeino,NO,69.0125,23.0412,8.6,84,90,3.01,overcast clouds
518,Kosonsoy,UZ,41.2561,71.5508,23.31,25,82,3.22,broken clouds
519,Marquette,US,46.5333,-87.6335,22.1,81,100,0.21,overcast clouds
520,Luanda,AO,-8.8368,13.2343,23.0,88,20,2.06,few clouds
521,Najran,SA,17.4924,44.1277,28.36,27,98,0.03,overcast clouds
522,Alcacer Do Sal,PT,38.3733,-8.5144,20.9,68,52,5.05,broken clouds
523,Aviles,ES,43.5547,-5.9248,16.66,72,75,3.09,broken clouds
524,Belfast,GB,54.5833,-5.9333,12.99,74,20,3.09,few clouds
525,Port-Gentil,GA,-0.7193,8.7815,25.98,83,40,3.09,scattered clouds
526,Arona,ES,28.0996,-16.681,17.77,74,0,2.24,clear sky
527,Svetlyy,RU,54.675,20.1347,15.03,93,10,3.04,clear sky
528,Rio Grande,BR,-32.035,-52.0986,10.06,68,100,6.02,overcast clouds
529,Blagoyevo,RU,63.3667,47.9167,15.27,70,79,2.03,broken clouds
530,Ust-Ishim,RU,57.6935,71.1665,13.01,99,40,2.24,scattered clouds
531,Rorvik,NO,64.8621,11.2373,11.37,78,90,5.88,overcast clouds
532,Kupino,RU,54.3663,77.2981,15.84,84,100,3.48,overcast clouds
533,Dasoguz,TM,41.8363,59.9666,28.97,42,0,0.0,clear sky
534,Atasu,KZ,48.6814,71.6433,18.45,26,40,3.93,scattered clouds
535,Zhob,PK,31.3411,69.4481,25.01,41,25,1.0,scattered clouds
536,Bella Vista,US,36.4295,-94.2316,29.34,70,75,2.24,broken clouds
537,Birao,CF,10.2849,22.7882,23.73,82,100,2.81,light rain
538,Huarmey,PE,-10.0681,-78.1522,19.26,76,95,4.24,overcast clouds
539,Mocuba,MZ,-16.8392,36.9856,16.67,96,4,1.24,clear sky
540,Glace Bay,CA,46.1969,-59.957,22.12,88,90,2.68,overcast clouds
541,Talnakh,RU,69.4865,88.3972,9.36,82,100,1.82,overcast clouds
542,Omboue,GA,-1.5746,9.2618,22.96,89,95,2.73,overcast clouds
543,Bereda,ES,43.2686,-7.5406,12.86,88,98,2.06,overcast clouds
544,Joshimath,IN,30.5667,79.5667,19.01,76,13,1.52,few clouds
545,Mehamn,NO,71.0357,27.8492,9.97,66,0,4.63,clear sky
546,Moundou,TD,8.5667,16.0833,22.25,89,99,2.05,overcast clouds
547,Teguldet,RU,57.3064,88.1667,9.62,96,96,1.7,overcast clouds
548,Skjervoy,NO,70.0311,20.9714,11.08,68,92,2.42,overcast clouds
549,Chervona Sloboda,UA,49.3789,32.1464,19.32,93,34,5.75,scattered clouds
550,Fort Dix,US,40.0298,-74.6185,33.54,61,40,7.2,scattered clouds
551,Mao,ES,39.8885,4.2658,22.31,83,0,2.06,clear sky
552,Calabozo,VE,8.9242,-67.4293,28.57,67,92,1.78,overcast clouds
553,Bouca,CF,6.5105,18.2733,21.35,95,87,1.56,light rain
554,Palmas De Monte Alto,BR,-14.2672,-43.1619,21.16,37,0,2.61,clear sky
555,Riyadh,SA,24.6877,46.7219,36.08,7,0,2.43,clear sky
556,Tiznit,MA,29.5833,-9.5,19.75,61,0,1.6,clear sky
557,Kapoeta,SS,4.7717,33.5903,27.81,39,81,6.52,broken clouds
558,Lascahobas,HT,18.8294,-71.9364,29.8,68,73,0.24,broken clouds
559,Kremenchuk,UA,49.0973,33.4197,20.32,93,82,5.78,broken clouds
560,Manaure,CO,11.7751,-72.4445,30.87,59,99,4.49,overcast clouds
561,Ankola,IN,14.6667,74.3,25.29,88,100,1.26,overcast clouds
562,Kavaratti,IN,10.5669,72.642,27.4,81,99,7.0,overcast clouds
563,Maarianhamina,AX,60.0973,19.9348,12.92,94,0,1.03,clear sky
564,Tete,MZ,-16.1564,33.5867,17.05,59,0,2.06,clear sky
565,Coelho Neto,BR,-4.2567,-43.0128,25.49,63,52,1.19,broken clouds
566,Villa Carlos Paz,AR,-31.4241,-64.4978,7.6,36,0,0.45,clear sky
567,Sfantu Gheorghe,RO,45.8667,25.7833,18.48,78,63,0.77,broken clouds
568,Kamakwie,SL,9.5,-12.2333,23.72,95,57,2.0,broken clouds
569,Oranjestad,AW,12.524,-70.027,29.97,76,20,3.13,few clouds
570,Mardin,TR,37.3131,40.7436,26.06,20,0,1.78,clear sky
571,Diamantina,BR,-18.2494,-43.6003,12.46,65,1,2.42,clear sky
572,Dondo,MZ,-19.6094,34.7431,18.73,96,1,2.31,clear sky
573,Jaisalmer,IN,26.9147,70.9181,32.09,49,38,5.74,scattered clouds
574,Middletown,US,39.5151,-84.3983,32.77,64,40,6.17,scattered clouds
575,Athol,US,42.5959,-72.2268,31.81,63,20,8.23,few clouds
576,Kumluca,TR,36.3703,30.2869,29.46,43,0,2.96,clear sky
577,Porto-Vecchio,FR,41.591,9.2795,23.74,83,0,2.57,clear sky
578,Lambarene,GA,-0.7001,10.2406,23.08,93,100,1.63,overcast clouds
579,Havoysund,NO,70.9963,24.6622,10.49,71,100,2.62,overcast clouds
580,Boqueirao,BR,-7.5,-36.1333,23.75,80,85,5.82,overcast clouds
581,Gobabis,NA,-22.45,18.9667,12.85,32,3,5.27,clear sky
582,Kemijarvi,FI,66.7131,27.4306,10.2,83,13,2.46,few clouds
583,Roald,NO,62.5833,6.1333,14.95,87,40,6.17,scattered clouds
584,Yegorlykskaya,RU,46.5656,40.6562,21.8,100,16,3.02,few clouds
585,Barranca,PE,-10.75,-77.7667,18.26,75,77,4.02,broken clouds
586,Sinnar,SD,13.5691,33.5672,32.59,39,63,4.41,broken clouds
587,Vizinga,RU,61.0749,50.1031,18.14,82,28,1.06,scattered clouds
588,Hurghada,EG,27.2574,33.8129,33.02,19,0,2.06,clear sky
589,San Jose,US,37.3394,-121.895,33.29,54,20,4.12,few clouds
590,Suhl,DE,50.6,10.7,19.95,71,100,1.54,overcast clouds
591,El Tigre,VE,8.8875,-64.2454,26.41,71,98,5.03,overcast clouds
592,Matara,LK,5.9485,80.5353,25.15,89,99,4.91,overcast clouds
593,Qandala,SO,11.472,49.8728,32.71,50,73,3.19,broken clouds
594,Filingue,NE,14.3521,3.3168,35.17,33,1,4.27,clear sky
595,Arlit,NE,18.7369,7.3853,33.19,12,0,5.66,clear sky
596,Koszeg,HU,47.3892,16.541,20.34,67,96,2.03,overcast clouds
597,Adre,TD,13.4667,22.2,28.61,35,99,2.76,overcast clouds
598,Nyamuswa,TZ,-1.9,34.0167,21.48,57,89,1.92,overcast clouds
599,Dutlwe,BW,-23.9833,23.9,14.29,32,0,4.1,clear sky
600,Westport,US,41.1415,-73.3579,33.19,73,1,1.34,clear sky
601,Flic En Flac,MU,-20.2742,57.3631,23.07,77,5,4.72,clear sky
602,Pirapora,BR,-17.345,-44.9419,20.52,42,0,1.19,clear sky
603,Umea,SE,63.8284,20.2597,13.28,87,0,1.54,clear sky
604,Hazaribag,IN,23.9833,85.35,24.76,86,97,3.34,overcast clouds
605,Urengoy,RU,65.9667,78.3667,8.72,60,12,2.79,few clouds
606,Matadi,CD,-5.8167,13.45,22.81,82,29,1.79,scattered clouds
607,Soledade,BR,-28.8183,-52.5103,6.02,98,100,2.66,light rain
608,Maine-Soroa,NE,13.2114,12.0241,33.9,30,91,3.28,overcast clouds
609,Ancud,CL,-41.8697,-73.8203,7.74,81,100,2.39,overcast clouds
610,Saint-Georges,GD,12.0564,-61.7485,28.82,74,20,7.2,few clouds
611,Walvis Bay,NA,-22.9575,14.5053,13.53,94,19,2.57,few clouds
612,Atyashevo,RU,54.5644,46.0691,21.19,84,2,1.61,clear sky
613,Lerwick,GB,60.1545,-1.1494,10.0,90,74,4.71,broken clouds
614,Tingi,TZ,-11.3,35.0333,13.9,63,5,1.79,clear sky
615,Charyshskoye,RU,51.3978,83.5598,9.64,82,96,2.61,overcast clouds
616,Quatre Cocos,MU,-20.2078,57.7625,22.83,74,13,6.23,few clouds
617,Mahanoro,MG,-19.9,48.8,18.44,93,16,1.75,few clouds
618,Conde,BR,-7.2597,-34.9075,21.7,100,90,6.17,overcast clouds
619,Svetlogorsk,BY,52.6333,29.7333,17.95,89,93,5.88,overcast clouds
620,Sambava,MG,-14.2667,50.1667,19.71,87,6,4.6,clear sky
621,Road Town,VG,18.4167,-64.6167,29.05,70,40,3.6,scattered clouds
622,Nieuw Amsterdam,SR,5.8833,-55.0833,30.01,70,40,3.09,scattered clouds
623,Rincon,US,32.296,-81.2354,31.25,64,40,0.45,scattered clouds
624,Caraballeda,VE,10.6112,-66.8522,29.37,87,92,5.66,overcast clouds
625,Fort-Shevchenko,KZ,44.5086,50.263,31.56,30,29,6.11,scattered clouds
626,Vilcun,CL,-38.65,-72.2333,9.41,87,2,0.99,clear sky
627,Doha,QA,25.2867,51.5333,30.99,89,0,1.03,clear sky
628,Beyneu,KZ,45.3167,55.2,32.8,24,19,4.11,few clouds
629,Weligama,LK,5.9667,80.4167,25.38,88,100,5.05,moderate rain
630,Dukhovshchina,RU,55.1919,32.4111,18.4,98,99,1.91,moderate rain
631,Abha,SA,18.2164,42.5053,22.9,49,0,0.0,clear sky
632,Bardiyah,LY,31.7561,25.0865,27.07,64,0,5.09,clear sky
633,La Esperanza,GT,14.8667,-91.5667,16.4,83,75,0.0,broken clouds
634,Itarema,BR,-2.9248,-39.9167,25.45,78,21,4.0,few clouds
635,Turtas,RU,58.9417,69.1325,12.37,95,42,1.5,scattered clouds
636,Megion,RU,61.0296,76.1136,14.01,71,33,3.13,scattered clouds
637,Kamenka,RU,51.3223,42.7678,20.86,81,76,5.42,broken clouds
638,Tikapur,NP,28.5,81.1333,27.79,71,1,1.16,clear sky
639,Araouane,ML,18.9048,-3.5265,37.59,8,5,2.82,clear sky
640,Santiago Del Estero,AR,-27.7951,-64.2615,9.65,31,0,3.62,clear sky
641,Kaduqli,SD,11.0167,29.7167,25.59,73,96,2.01,overcast clouds
642,Jizan,SA,17.3333,42.6667,34.52,47,98,0.47,overcast clouds
643,Rania,IN,29.5333,74.8333,34.29,32,0,2.45,clear sky
644,Cheremisinovo,RU,51.8855,37.2646,22.06,90,35,2.29,scattered clouds
645,Hornbaek,DK,56.0854,12.4505,17.74,64,99,3.09,overcast clouds
646,Malanville,BJ,11.8685,3.3899,29.83,48,91,2.81,overcast clouds
647,Tukrah,LY,32.5341,20.5791,28.18,46,0,2.54,clear sky
648,Tarrafal,CV,15.2833,-23.7667,25.44,86,100,5.89,overcast clouds
649,Mantua,IT,45.1667,10.7833,25.65,74,68,3.15,broken clouds
650,Bahar,IR,34.9072,48.4414,21.48,17,42,1.62,scattered clouds
651,Leh,IN,34.1667,77.5833,12.82,33,0,2.03,clear sky
652,Black River,JM,18.0264,-77.8487,26.1,71,78,6.97,broken clouds
653,Vikulovo,RU,56.8167,70.6107,14.03,97,14,2.84,few clouds
654,Valledupar,CO,10.4631,-73.2532,30.65,57,68,2.17,broken clouds
655,Betanzos,ES,43.2804,-8.2147,16.16,82,75,0.89,broken clouds
656,Kisesa,TZ,-3.0833,34.15,18.33,52,37,3.23,scattered clouds
657,Mattru,SL,7.6244,-11.8332,23.37,97,99,1.39,overcast clouds
658,Toul,FR,48.6667,5.9167,19.51,94,0,1.54,clear sky
659,Altoona,US,40.5187,-78.3947,31.56,60,81,3.74,broken clouds
660,Sarakhs,IR,36.5449,61.1577,24.08,29,0,1.03,clear sky
661,Amlame,TG,7.4667,0.9,22.59,85,99,1.74,overcast clouds
662,Uvira,CD,-3.4067,29.1458,22.39,62,57,0.75,broken clouds
663,Nyrob,RU,60.733,56.7202,19.44,65,92,1.6,overcast clouds
664,Buchanan,LR,5.8808,-10.0467,25.98,89,100,3.02,moderate rain
665,Sisimiut,GL,66.9395,-53.6735,5.73,92,100,2.79,overcast clouds
666,Orotina,CR,9.912,-84.5234,27.42,87,87,1.56,overcast clouds
667,Lichinga,MZ,-13.3128,35.2406,12.6,61,3,1.99,clear sky
668,Monduli,TZ,-3.3,36.45,15.09,79,46,4.47,scattered clouds
669,Tornabe,HN,15.75,-87.55,33.14,65,99,2.61,overcast clouds
670,Cap Malheureux,MU,-19.9842,57.6142,23.04,78,4,2.68,clear sky
671,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,26.2,69,59,2.09,broken clouds
672,Dodola,ET,6.9833,39.1833,10.79,88,87,2.41,overcast clouds
673,Rabat,MA,33.9911,-6.8401,19.67,82,75,0.0,broken clouds
674,Campoverde,PE,-8.4753,-74.8058,31.83,58,67,0.68,broken clouds
675,Lamu,KE,-2.2717,40.902,23.12,84,91,5.35,light rain
676,Bara,NG,10.3744,10.7288,24.74,80,87,3.84,light rain
677,Sao Domingos,BR,-13.3983,-46.3183,21.34,42,5,1.8,clear sky
678,Kinkala,CG,-4.3614,14.7644,21.17,88,45,1.91,scattered clouds
679,Lenger,KZ,42.183,69.8839,23.69,19,0,3.06,clear sky
680,San Luis,AR,-33.295,-66.3356,1.68,51,6,3.77,clear sky
681,Ailigandi,PA,9.2333,-78.0167,26.72,83,95,0.72,overcast clouds
682,Vallenar,CL,-28.5708,-70.7581,16.33,25,0,1.29,clear sky
683,Labytnangi,RU,66.6572,66.4183,6.81,76,73,3.38,broken clouds
684,Lixourion,GR,38.2019,20.4314,24.88,59,46,2.73,scattered clouds
685,Bodo,NO,67.28,14.405,12.03,78,75,8.23,broken clouds
686,Grafenau,DE,48.8577,13.3974,18.26,52,86,1.75,overcast clouds
687,Maragogi,BR,-9.0122,-35.2225,24.35,68,97,4.67,overcast clouds
688,Alta Floresta,BR,-9.8756,-56.0861,26.08,50,31,1.18,scattered clouds
689,Makokou,GA,0.5738,12.8642,20.74,93,26,1.45,scattered clouds
690,Inhambane,MZ,-23.865,35.3833,21.05,91,0,3.95,clear sky
691,Kismayo,SO,-0.3582,42.5454,24.52,82,88,5.0,overcast clouds
692,Caldas Novas,BR,-17.7417,-48.625,20.1,35,0,0.76,clear sky
693,Namanyere,TZ,-7.5167,31.05,14.77,47,37,2.63,scattered clouds
694,Rosetta,EG,31.4044,30.4164,25.9,82,0,3.46,clear sky
