City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lebu,CL,2021-06-26 16:36:38,-37.6167,-73.65,9.39,70,7,3.94
68,Mehamn,NO,2021-06-26 16:36:40,71.0357,27.8492,7.89,91,100,5.13
69,Krasnovishersk,RU,2021-06-26 16:36:41,60.4078,57.082,18.87,80,81,1.67
70,Chapais,CA,2021-06-26 16:36:42,49.7834,-74.8492,18.88,94,100,2.5
71,Yar-Sale,RU,2021-06-26 16:36:44,66.8333,70.8333,9.28,52,67,2.98
72,North Bay,CA,2021-06-26 16:36:45,46.3168,-79.4663,21.99,100,90,3.09
73,Morant Bay,JM,2021-06-26 16:36:47,17.8815,-76.4093,29.79,64,16,4.68
74,Sorland,NO,2021-06-26 16:36:48,67.667,12.6934,9.67,82,100,10.32
75,Bambous Virieux,MU,2021-06-26 16:36:49,-20.3428,57.7575,21.14,88,75,6.69
76,Damara,CF,2021-06-26 16:36:51,4.9608,18.7035,34.68,57,29,2.26
77,Gaoual,GN,2021-06-26 16:36:52,11.75,-13.2,33.12,48,100,1.01
78,Muborak,UZ,2021-06-26 16:36:54,39.2553,65.1528,30.26,15,0,7.43
79,Longyearbyen,SJ,2021-06-26 16:36:55,78.2186,15.6401,5.91,81,0,2.57
80,Ibra,OM,2021-06-26 16:36:56,22.6906,58.5334,30.61,38,50,5.63
81,Lucea,JM,2021-06-26 16:36:58,18.451,-78.1736,29.92,69,63,3.96
82,Bay Roberts,CA,2021-06-26 16:36:59,47.5999,-53.2648,23.62,55,65,4.47
83,Penzance,GB,2021-06-26 16:37:02,50.1186,-5.5371,16.56,77,20,2.57
84,Russkaya Polyana,UA,2021-06-26 16:37:03,49.417,31.9201,27.68,71,24,2.47
85,Ponta Do Sol,PT,2021-06-26 16:37:06,32.6667,-17.1,23.73,64,7,1.12
86,Barranca,PE,2021-06-26 16:33:04,-10.75,-77.7667,19.52,69,59,5.02
87,Inhambane,MZ,2021-06-26 16:37:09,-23.865,35.3833,22.99,83,0,4.12
88,Tibati,CM,2021-06-26 16:37:12,6.4667,12.6333,22.31,89,60,0.72
89,Belle Glade,US,2021-06-26 16:37:13,26.6845,-80.6676,31.12,61,100,3.26
90,Alto Longa,BR,2021-06-26 16:37:15,-5.2511,-42.2103,36.03,28,13,0.66
91,Djambala,CG,2021-06-26 16:37:16,-2.5447,14.7533,24.34,64,74,1.07
92,Burla,IN,2021-06-26 16:37:17,21.5,83.8667,29.25,71,96,1.9
93,Road Town,VG,2021-06-26 16:37:19,18.4167,-64.6167,29.05,79,40,6.17
94,Ardee,IE,2021-06-26 16:37:20,53.8597,-6.5406,14.8,75,92,4.76
95,Vila Velha,BR,2021-06-26 16:33:35,-20.3297,-40.2925,25.54,62,75,1.54
96,Bengkulu,ID,2021-06-26 16:37:24,-3.8004,102.2655,24.3,89,58,2.03
97,Novoseleznevo,RU,2021-06-26 16:37:25,55.6821,69.2056,17.78,63,84,4.31
98,Gogrial,SS,2021-06-26 16:37:28,8.5332,28.1004,29.05,49,99,3.66
99,Victoria,HK,2021-06-26 16:35:11,22.2855,114.1577,30.21,89,96,0.45
100,Upernavik,GL,2021-06-26 16:37:31,72.7868,-56.1549,4.05,79,100,0.47
101,East London,ZA,2021-06-26 16:37:32,-33.0153,27.9116,15.52,72,0,8.75
102,Kargasok,RU,2021-06-26 16:37:33,59.0556,80.8572,14.45,62,69,2.71
103,Dwarka,IN,2021-06-26 16:37:35,22.2394,68.9678,29.24,67,68,7.73
104,Kedougou,SN,2021-06-26 16:37:36,12.5579,-12.1743,35.32,43,40,2.06
105,Ribeira Grande,PT,2021-06-26 16:37:37,38.5167,-28.7,21.22,78,20,3.09
106,Honningsvag,NO,2021-06-26 16:37:39,70.9821,25.9704,7.45,91,100,3.05
107,Panaba,MX,2021-06-26 16:37:40,21.2833,-88.2667,32.07,51,100,3.53
108,Mananara,MG,2021-06-26 16:37:42,-16.1667,49.7667,19.38,94,7,1.75
109,Porto Murtinho,BR,2021-06-26 16:37:43,-21.6989,-57.8825,34.71,24,4,7.13
110,Codrington,AU,2021-06-26 16:37:44,-38.2667,141.9667,10.7,94,80,3.18
111,Rustam,PK,2021-06-26 16:37:46,27.969,68.8048,34.97,29,0,7.32
112,Kalmunai,LK,2021-06-26 16:37:49,7.4167,81.8167,28.16,69,97,1.75
113,Darlowo,PL,2021-06-26 16:37:50,54.421,16.4107,17.99,73,50,4.1
114,Yarkovo,RU,2021-06-26 16:37:51,57.4028,67.0786,18.44,71,100,1.19
115,Sao Filipe,CV,2021-06-26 16:37:53,14.8961,-24.4956,24.53,80,93,3.04
116,Hithadhoo,MV,2021-06-26 16:37:54,-0.6,73.0833,28.32,72,98,6.54
117,Mtimbira,TZ,2021-06-26 16:37:55,-8.7833,36.35,20.61,62,26,1.76
118,Dhangadhi,NP,2021-06-26 16:37:57,28.7079,80.5961,28.82,69,55,2.76
119,Marystown,CA,2021-06-26 16:37:58,47.1666,-55.1483,16.51,64,100,5.58
120,Uruzgan,AF,2021-06-26 16:38:00,32.8333,66.0,23.15,11,0,1.23
121,Capao Da Canoa,BR,2021-06-26 16:38:01,-29.7456,-50.0097,16.3,94,100,4.28
